District,Case ID,Application Type,ERF Number,ISIS Key,Locality Address,Allotment Area,Status Description,Plan Cat. Primary,Plan Category Public,Plan Cat. Second,Building Work Description,Typo Work Description,Total Area,Building Work Value,Building Work Value Group,Number of Units,RDP/LCH Indicator,Submission Date,Approved Date,Commencement Date,Completion Date,Year,Area 2
Northern,70279263,Building Plan < 500m2,26997,650090,2A BATAVIA STREET  WELGEMOED,BELLVILLE,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,116,"563,340.00",Under 5 million,1,No,14/04/2016,27/05/2016,16/05/2017,,2016,TYGER NORTHERN SUBURBS
Northern,70242289,Building Plan < 500m2,38869,708206,4 MAGASYN AVENUE  KANONBERG,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Wall",80,"563,200.00",Under 5 million,1,No,07/05/2015,22/05/2015,09/06/2016,09/06/2016,2015,TYGER NORTHERN SUBURBS
Tygerberg,70469862,Building Plan < 500m2,209,625802,40 D F MALAN STREET   PAROW NORTH,PAROW,Application Approved,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,77,"563,120.00",Under 5 million,1,No,16/03/2020,31/08/2020,,,2020,PAROW
Northern,70179064,Building Plan < 500m2,25945,648992,"10 ONRUST STREET  WATERKLOOF, DE BRON EXT 44",BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Wall",82,"562,160.00",Under 5 million,1,No,20/11/2014,12/12/2014,16/10/2015,21/06/2017,2014,TYGER NORTHERN SUBURBS
Tygerberg,70313596,Building Plan < 500m2,24741,48311492,54A NORTHWAY - EAST ROAD  RAVENSMEAD,PAROW,Work Commenced,Non Residential,Public,All Other Space,Other,Electrical Substation,80,"561,600.00",Under 5 million,1,No,14/09/2016,02/10/2017,15/02/2019,,2016,PAROW
Northern,70154315,Building Plan < 500m2,59,665352,12 BULAWAYO AVENUE  KENRIDGE - Durbanville,KENRIDGE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Internal",84,"560,660.00",Under 5 million,1,No,10/07/2014,29/07/2014,12/04/2016,12/04/2016,2014,TYGER NORTHERN SUBURBS
Tygerberg,70011927,Building Plan < 500m2,9869,664611,70 6TH AVENUE  BOSTON,BELLVILLE,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Other,"""Dwelling Extension, Internal Al",135,"560,400.00",Under 5 million,1,No,02/03/2011,14/04/2011,03/10/2011,,2011,BELLVILLE
Northern,70322182,Building Plan < 500m2,491,660347,11 TRICHARDT STREET  WELGEMOED,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Internal Alterations,Wall",62,"560,220.00",Under 5 million,1,No,14/12/2016,17/02/2017,14/03/2018,14/03/2018,2016,TYGER NORTHERN SUBURBS
Northern,70301659,Building Plan < 500m2,29670,652810,"13 KANONBERG STREET  WATERKLOOF, DE BRON EXT 44",BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Patio, Internal Alterations, Wall",85,"560,190.00",Under 5 million,1,No,29/06/2016,08/07/2016,14/07/2016,10/07/2017,2016,TYGER NORTHERN SUBURBS
Northern,70364779,Building Plan < 500m2,31534,654426,10 VIOLA CRESCENT  WELGEDACHT,BELLVILLE,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Wall, Internal Alterations",73,"559,780.00",Under 5 million,1,No,28/09/2017,21/12/2017,19/02/2019,,2017,TYGER NORTHERN SUBURBS
Tygerberg,70028081,Building Plan < 500m2,7643,632425,11 FRANKFORT ROAD  GLENLILY,PAROW,Work Complete,Additions and Alterations,Private,Dwelling Houses,Other,"""Dwelling Extension, Verandah""",88,"559,680.00",Under 5 million,1,No,18/02/2014,28/03/2014,30/03/2016,17/05/2016,2014,PAROW
Tygerberg,70255417,Building Plan < 500m2,20398,625296,79 PRINSLOO STREET  PAROW VALLEY,PAROW,Work Complete,Additions and Alterations,Private,Dwelling Houses,Other,"Extension, Carport",128,"559,400.00",Under 5 million,1,No,06/11/2015,12/11/2015,25/11/2015,31/05/2017,2015,PAROW
Tygerberg,70277756,Building Plan < 500m2,14987,620719,107 MORNAY - EAST STREET  RAVENSMEAD,PAROW,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,71,"558,660.00",Under 5 million,1,No,22/12/2015,26/01/2016,10/08/2017,,2015,PAROW
Tygerberg,70290109,Building Plan < 500m2,7075,662247,43 OLD PAARL ROAD  CHRISMAR,BELLVILLE,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,79,"557,740.00",Under 5 million,1,No,17/05/2016,24/05/2016,30/05/2016,,2016,BELLVILLE
Northern,70192790,Building Plan < 500m2,31388,707173,,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Other,Dwelling Extension,125,"556,250.00",Under 5 million,1,No,29/05/2009,30/06/2009,28/07/2009,15/02/2010,2009,TYGER NORTHERN SUBURBS
Tygerberg,70390998,Building Plan < 500m2,19231,624369,44 HANNES LOUW DRIVE  DE TIJGER,PAROW,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,112,"556,200.00",Under 5 million,1,No,13/03/2018,24/04/2018,27/06/2018,,2018,PAROW
Tygerberg,70369671,Building Plan < 500m2,22616,627345,80 SIMONE STREET  DE TIJGER,PAROW,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Patio Cover, Carport",129,"556,100.00",Under 5 million,1,No,05/10/2017,14/03/2018,20/02/2019,,2017,PAROW
Tygerberg,70004073,Building Plan < 500m2,39766,989279,47A ASTRA AVENUE   RIVERTON ELSIES RIVER,GOODWOOD,Work Commenced,Residential,Private,Dwelling Houses,Other,"""Dwelling,  Carport,  Other""",147,"555,130.00",Under 5 million,1,No,29/07/2010,14/09/2010,18/10/2010,,2010,GOODWOOD
Tygerberg,70247680,Building Plan < 500m2,500,630054,15 DE GRENDEL ROAD  PAROW NORTH,PAROW,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,131,"554,710.00",Under 5 million,1,No,17/06/2015,06/08/2015,31/08/2017,,2015,PAROW
Tygerberg,70517106,Building Plan < 500m2,20949,644018,8 AMPERE STREET   STIKLAND INDUSTRIA,BELLVILLE,Application Approved,Additions and Alterations,Private,Non Residential,Factory Extension,,79,"554,580.00",Under 5 million,0,No,16/09/2020,18/12/2020,,,2020,STIKLAND INDUSTRIA
Northern,70238488,Building Plan < 500m2,31260,654153,"1 LANGGEDACHT SLOT  WATERKLOOF, DE BRON EXT 44",BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,83,"554,440.00",Under 5 million,1,No,16/04/2015,22/07/2015,14/09/2015,15/02/2017,2015,TYGER NORTHERN SUBURBS
Tygerberg,70031720,Building Plan < 500m2,12390,619420,6 SELSDON ROAD  BEACONVALE,PAROW,Work Complete,Additions and Alterations,Private,Non Residential,Other,"""Office Extension, Loading Bay""",144,"554,400.00",Under 5 million,1,No,13/09/2007,12/11/2007,04/01/2013,04/01/2013,2007,BEACONVALE INDUSTRIA
Tygerberg,70239054,Building Plan < 500m2,5366,630404,165 3RD AVENUE  CHURCHILL ESTATE,PAROW,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,80,"553,900.00",Under 5 million,1,No,02/04/2015,09/04/2015,24/04/2015,,2015,PAROW
Tygerberg,70423117,Building Plan < 500m2,6653,631608,65 CHURCH ROAD  GLENLILY,PAROW,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Other,"Granny Flat, Storeroom",71,"553,260.00",Under 5 million,1,No,21/01/2019,02/03/2020,20/08/2020,,2019,PAROW
Tygerberg,70177969,Building Plan < 500m2,10072,617642,57 VISAGIE STREET  PAROW VALLEY,PAROW,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,104,"552,610.00",Under 5 million,1,No,30/12/2014,29/05/2015,27/05/2016,,2014,PAROW
Northern,70168773,Building Plan < 500m2,29615,652750,"13 KUIPERSKRAAL STREET  WATERKLOOF, DE BRON EXT 44",BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Internal Alteration, Pool, Carport, Wall",123,"552,520.00",Under 5 million,1,No,12/09/2014,30/09/2014,30/05/2016,22/05/2017,2014,TYGER NORTHERN SUBURBS
Northern,70390989,Building Plan < 500m2,15502,639039,18 INFANTRY WAY  DOOR DE KRAAL,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Other,"scullery, garage, internal alts",69,"552,140.00",Under 5 million,1,No,15/03/2018,13/04/2018,23/04/2018,17/04/2019,2018,TYGER NORTHERN SUBURBS
Tygerberg,70328517,Building Plan < 500m2,13243,637014,63 LA PROVENCE ROAD  LA ROCHELLE,BELLVILLE,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Patio",96,"551,920.00",Under 5 million,1,No,20/01/2017,13/02/2017,28/03/2017,,2017,BELLVILLE
Northern,70434193,Building Plan < 500m2,795,665557,14 WOOLF WAY  KENRIDGE,KENRIDGE,Work Complete,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Internal Alterations re-roofing & Wall",104,"551,280.00",Under 5 million,1,No,07/12/2018,10/02/2019,11/04/2019,29/08/2019,2018,TYGER NORTHERN SUBURBS
Tygerberg,70431851,Building Plan < 500m2,4369,563861,132 WELLINGTON STREET  VASCO ESTATE,GOODWOOD,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,67,"551,010.00",Under 5 million,1,No,16/11/2018,30/11/2018,05/02/2020,,2018,GOODWOOD
Tygerberg,70295850,Building Plan < 500m2,15876,639395,39 SAXENBURG CRESCENT  OAKGLEN,BELLVILLE,Work Complete,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,78,"550,680.00",Under 5 million,1,No,29/07/2016,20/10/2016,01/11/2016,13/02/2017,2016,BELLVILLE
Tygerberg,70341022,Building Plan < 500m2,4624,660052,50 CLYDE STREET  OAKDALE,BELLVILLE,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,94,"550,560.00",Under 5 million,1,No,17/05/2017,23/06/2017,31/07/2017,,2017,BELLVILLE
Tygerberg,70122837,Building Plan < 500m2,18230,623373,9 CONNAUGHT ROAD  BEACONVALE,PAROW,Certificate Issued,Additions and Alterations,Private,Non Residential,Office Extension,Office Extension,344,"550,032.00",Under 5 million,1,No,14/05/2002,13/06/2002,07/10/2002,13/02/2003,2002,BEACONVALE INDUSTRIA
Northern,70009558,Building Plan < 500m2,32915,655617,48 TYGERVALLEY CENTRE SERVICE STREET  TYGERVALLEY,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"550,000.00",Under 5 million,1,No,08/12/2011,27/02/2012,15/03/2012,22/09/2014,2011,TYGERVALLEY
Tygerberg,70223547,Building Plan < 500m2,16965,706048,12 WILLIE HOFMEYER AVENUE  SANLAMHOF,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Internal Alterations,,Internal Alterations,0,"550,000.00",Under 5 million,1,No,09/09/2002,31/10/2002,08/05/2003,08/05/2003,2002,BELLVILLE
Northern,70496490,Building Plan < 500m2,1584,639366,2 GEMSBOK ROAD   LOEVENSTEIN,BELLVILLE,Certificate Issued,Residential,Private,Dwelling Houses,Other,2nd Dwelling & Wall,75,"548,400.00",Under 5 million,1,No,08/04/2020,05/05/2020,11/08/2020,22/12/2020,2020,TYGER NORTHERN SUBURBS
Tygerberg,70235857,Building Plan < 500m2,40135,30340249,1 RIVERTON MEWS NONE  RIVERTON ELSIES RIVER,GOODWOOD,Certificate Issued,Residential,Private,Dwelling Houses,Dwelling,,82,"548,360.00",Under 5 million,1,No,31/03/2015,14/01/2016,21/01/2016,18/07/2016,2015,GOODWOOD
Tygerberg,70396421,Building Plan < 500m2,29349,652457,14 DENNE CRESCENT  JOUBERTPARK,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,78,"548,200.00",Under 5 million,1,No,05/06/2018,11/07/2018,23/08/2018,23/04/2019,2018,BELLVILLE
Northern,70482979,Building Plan < 500m2,26970,650075,10 ESDORING STREET   LOEVENSTEIN,BELLVILLE,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,69,"547,590.00",Under 5 million,1,No,02/01/2020,11/03/2020,20/07/2020,,2020,TYGER NORTHERN SUBURBS
Tygerberg,70086414,Building Plan < 500m2,10777,618264,39 RISSIK STREET  PAROW VALLEY,PAROW,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Other,"""Dwelling Extension, Wall""",123,"546,830.00",Under 5 million,1,No,18/01/2010,19/04/2010,07/01/2011,04/02/2013,2010,PAROW
Tygerberg,70258851,Building Plan < 500m2,4967,630024,13 SONSKYN STREET  CHURCHILL ESTATE,PAROW,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,122,"546,720.00",Under 5 million,1,No,26/11/2015,11/12/2015,22/01/2016,03/11/2017,2015,PAROW
Tygerberg,70245717,Building Plan < 500m2,9259,664065,63 12TH AVENUE  BOSTON,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Garage,,79,"546,320.00",Under 5 million,1,No,01/06/2015,13/07/2015,15/09/2015,18/01/2017,2015,BELLVILLE
Northern,70354781,Building Plan < 500m2,1411,637742,20 EBONY STREET  LOEVENSTEIN,BELLVILLE,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Carport",103,"545,060.00",Under 5 million,1,No,19/09/2017,14/11/2017,07/11/2018,,2017,TYGER NORTHERN SUBURBS
Tygerberg,70167902,Building Plan < 500m2,6384,661635,4 TURNER ROAD  DE LA HAYE,BELLVILLE,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Other,"Bedrooms, carport, internal alterations",138,"544,200.00",Under 5 million,1,No,09/09/2014,07/10/2014,27/01/2015,,2014,BELLVILLE
Tygerberg,70008357,Building Plan < 500m2,4799,629875,122 FRANKFORT ROAD  CHURCHILL ESTATE,PAROW,Work Complete,Additions and Alterations,Private,Dwelling Houses,Other,"""Swimming pool, Dwelling Ext, Co",113,"544,150.00",Under 5 million,1,No,15/08/2011,23/03/2012,04/04/2012,14/06/2016,2011,PAROW
Tygerberg,70298795,Building Plan < 500m2,19913,624974,38 PRINSLOO STREET  PAROW VALLEY,PAROW,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,77,"543,620.00",Under 5 million,1,No,31/05/2016,08/11/2016,27/10/2017,,2016,PAROW
Northern,70319521,Building Plan < 500m2,37804,696969,14 WELGELEGEN STRAAT  VAN RIEBEECKSHOF,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,77,"543,620.00",Under 5 million,1,No,27/10/2016,14/02/2017,23/05/2017,18/03/2020,2016,TYGER NORTHERN SUBURBS
Tygerberg,70430797,Building Plan < 500m2,5159,630187,9 VOLSCHENK STREET   CLAMHALL,PAROW,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,77,"543,620.00",Under 5 million,1,No,08/01/2019,01/02/2019,07/07/2020,06/08/2020,2019,PAROW
Tygerberg,70122575,Building Plan < 500m2,40164,1034155,"41 FENNEL, A CRESCENT  VREDENBERG",BELLVILLE,Certificate Issued,Residential,Private,Dwelling Houses,Other,"""Dwelling, Balcony""",129,"543,090.00",Under 5 million,1,No,27/08/2008,25/03/2009,03/09/2009,26/01/2010,2008,BELLVILLE
Tygerberg,70473992,Building Plan < 500m2,6135,565289,49 WELLINGTON STREET   VASCO ESTATE,GOODWOOD,Application Approved,Residential,Private,Dwelling Houses,Other,"Additional Dwelling, Dwelling Extension, Wall, Carport",107,"542,980.00",Under 5 million,1,No,24/10/2019,20/10/2020,,,2019,GOODWOOD
Tygerberg,70152740,Building Plan < 500m2,29313,652425,18 ADAM TAS SQUARE  BELRAIL,BELLVILLE,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,87,"542,880.00",Under 5 million,1,No,10/07/2014,28/07/2014,15/01/2015,,2014,BELLVILLE CBD
Tygerberg,70515215,Building Plan < 500m2,15175,545814,89 VASCO BOULEVARD   VASCO ESTATE,GOODWOOD,Application Approved,Additions and Alterations,Private,Internal Alterations,Other,"Internal Alterations to Dwelling, Wall",0,"542,400.00",Under 5 million,1,No,13/10/2020,30/11/2020,,,2020,GOODWOOD
Tygerberg,70106476,Building Plan < 500m2,10231,634246,43 1ST AVENUE  BOSTON,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Non Residential,Other,"""Office Extension, Wall""",62,"541,800.00",Under 5 million,1,No,12/09/2012,13/11/2012,21/11/2012,09/05/2013,2012,BELLVILLE
Tygerberg,70418720,Building Plan < 500m2,22402,627215,13 VLEI STREET  PAROW VALLEY,PAROW,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,114,"541,720.00",Under 5 million,1,No,06/08/2018,16/08/2018,24/10/2018,,2018,PAROW
Tygerberg,70460085,Building Plan < 500m2,3550,628892,23 EDINBURGH ROAD   OOSTERZEE,PAROW,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension,Swimming Pool, Internal Alterations, Wall",70,"541,540.00",Under 5 million,1,No,30/07/2019,27/08/2019,30/12/2019,,2019,PAROW
Northern,70276155,Building Plan < 500m2,286,665040,54 DE VILLIERS AVENUE  KENRIDGE - Durbanville,KENRIDGE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Internal Alts, Terrace",108,"541,520.00",Under 5 million,1,No,31/12/2015,21/01/2016,19/04/2016,22/08/2016,2015,TYGER NORTHERN SUBURBS
Tygerberg,70470475,Building Plan < 500m2,5593,564782,72 MURRAY STREET   VASCO ESTATE,GOODWOOD,Work Commenced,Residential,Private,Dwelling Houses,Other,"Second Dwelling Unit, Internal Alterations",50,"541,500.00",Under 5 million,1,No,19/03/2020,29/09/2020,01/12/2020,,2020,GOODWOOD
Tygerberg,70470475,Building Plan < 500m2,5593,564782,72 MURRAY STREET   VASCO ESTATE,GOODWOOD,Work Commenced,Residential,Private,Dwelling Houses,Other,"Second Dwelling Unit, Internal Alterations",50,"541,500.00",Under 5 million,1,No,19/03/2020,29/09/2020,01/12/2020,,2020,GOODWOOD
Tygerberg,70470475,Building Plan < 500m2,5593,564782,72 MURRAY STREET   VASCO ESTATE,GOODWOOD,Work Commenced,Residential,Private,Dwelling Houses,Other,"Second Dwelling Unit, Internal Alterations",50,"541,500.00",Under 5 million,1,No,19/03/2020,29/09/2020,01/12/2020,,2020,GOODWOOD
Tygerberg,70261226,Building Plan < 500m2,16582,622089,66 WILLIAMS ROAD  FAIRFIELD ESTATE,PAROW,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,95,"541,360.00",Under 5 million,1,No,04/09/2015,30/10/2015,21/04/2017,,2015,PAROW
Northern,70474478,Building Plan < 500m2,812,665577,21 WOOLF WAY   KENRIDGE,KENRIDGE,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, internal Alterations, Carport, Verandah,",135,"541,260.00",Under 5 million,1,No,10/01/2020,16/03/2020,17/09/2020,,2020,TYGER NORTHERN SUBURBS
Tygerberg,70257978,Building Plan < 500m2,10448,618010,32 DE LA REY - SERVICE ROAD  KLIPKOP,PAROW,Work Complete,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,81,"541,080.00",Under 5 million,1,No,28/09/2015,13/10/2015,14/11/2016,30/11/2017,2015,PAROW
Northern,70282906,Building Plan < 500m2,1363,637255,21 BLOEKOM STREET  LOEVENSTEIN,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Internal Alts, Patio, Pool, Wall",99,"540,970.00",Under 5 million,1,No,17/02/2016,12/05/2016,24/06/2016,24/08/2017,2016,TYGER NORTHERN SUBURBS
Northern,70367495,Building Plan < 500m2,309,665066,52 KENRIDGE AVENUE  KENRIDGE - Durbanville,KENRIDGE,Work Complete,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Wall",61,"540,960.00",Under 5 million,1,No,23/11/2017,26/01/2018,12/03/2018,05/10/2018,2017,TYGER NORTHERN SUBURBS
Tygerberg,70256939,Building Plan < 500m2,5928,661179,26 DARLING ROAD  CHRISMAR,BELLVILLE,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Other,Dwelling Extension,118,"540,710.00",Under 5 million,1,No,19/08/2015,09/12/2015,25/01/2016,,2015,BELLVILLE
Tygerberg,70400225,Building Plan < 500m2,6596,661861,10 WENNING STREET  DE LA HAYE,BELLVILLE,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,113,"540,380.00",Under 5 million,1,No,27/07/2018,07/08/2018,23/08/2018,,2018,BELLVILLE
Northern,70491457,Building Plan < 500m2,888,665637,72 GAZANIA STREET   DOOR DE KRAAL,KENRIDGE,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Other,Dwelling Extension & Internal Alts,71,"540,260.00",Under 5 million,1,No,12/02/2020,13/03/2020,22/07/2020,,2020,TYGER NORTHERN SUBURBS
Northern,70300007,Building Plan < 500m2,25402,648433,10 BAARDSUIKERBOS STREET  PROTEAVALLEY,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Patio, Wall",80,"540,150.00",Under 5 million,1,No,06/06/2016,22/06/2016,23/09/2016,10/03/2017,2016,TYGER NORTHERN SUBURBS
Tygerberg,70253317,Building Plan < 500m2,174,622895,34 CJ LANGENHOVEN STREET  PAROW NORTH,PAROW,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,128,"540,100.00",Under 5 million,1,No,25/08/2015,28/12/2015,01/12/2016,,2015,PAROW
Tygerberg,70009432,Building Plan < 500m2,11225,634934,72 HOF STREET  BELLVILLE CBD,BELLVILLE,Work Commenced,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"540,000.00",Under 5 million,1,No,23/09/2010,03/02/2011,21/04/2011,,2010,BELLVILLE CBD
Northern,70445035,Building Plan < 500m2,31483,654372,34 ARISTEA SINGEL WELGEDACHT  WELGEDACHT,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,68,"539,930.00",Under 5 million,1,No,15/02/2019,15/02/2019,25/02/2019,25/02/2019,2019,TYGER NORTHERN SUBURBS
Tygerberg,70368207,Building Plan < 500m2,6523,661781,16 GAINSBOROUGH STREET  DE LA HAYE,BELLVILLE,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Wendy House, Internal Alterations",88,"539,000.00",Under 5 million,1,No,07/09/2017,06/11/2017,12/03/2018,,2017,BELLVILLE
Tygerberg,70255209,Building Plan < 500m2,4680,629759,92 BALFOUR ROAD  CHURCHILL ESTATE,PAROW,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Other,"En-suite, Carport",127,"538,850.00",Under 5 million,1,No,20/08/2015,24/02/2016,09/03/2016,,2015,PAROW
Tygerberg,70017259,Building Plan < 500m2,26713,649801,9 DROMMEDARIS STREET  BELRAIL,BELLVILLE,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Other,"""Dwelling Extension, Carport""",101,"538,280.00",Under 5 million,1,No,08/11/2012,06/03/2013,26/07/2013,,2012,BELLVILLE CBD
Tygerberg,70166268,Building Plan < 500m2,10973,634842,30 DURBAN ROAD  BELLVILLE CBD,BELLVILLE,Work Commenced,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"538,200.00",Under 5 million,1,No,04/09/2014,10/10/2014,05/04/2016,,2014,BELLVILLE CBD
Tygerberg,70363160,Building Plan < 500m2,5265,630301,10 RICKETTS ROAD   CLAMHALL,PAROW,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,171,"538,020.00",Under 5 million,1,No,22/08/2017,23/08/2017,05/03/2019,,2017,PAROW
Northern,70092956,Building Plan < 500m2,32576,655328,19 COMBRETUM AVENUE  WELGEDACHT,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Other,"""Dwelling Extension,  Swimming p",106,"537,970.00",Under 5 million,1,No,05/05/2011,27/05/2011,30/05/2011,17/10/2012,2011,TYGER NORTHERN SUBURBS
Northern,70449923,Building Plan < 500m2,449,665214,8 HOFMEYER AVENUE   KENRIDGE,KENRIDGE,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Other,Dwelling Extension & Internal Alts- dwelling,26,"537,700.00",Under 5 million,1,No,08/04/2019,24/05/2019,11/09/2019,,2019,TYGER NORTHERN SUBURBS
Northern,70313176,Building Plan < 500m2,37508,696693,24 PINOTAGE STREET  OUDE WESTHOF,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Swimming Pool, Wall",79,"536,970.00",Under 5 million,1,No,07/10/2016,20/10/2016,19/01/2017,04/02/2020,2016,TYGER NORTHERN SUBURBS
Northern,70280978,Building Plan < 500m2,31564,654455,49 WELGEDACHT DRIVE  WELGEDACHT,BELLVILLE,Certificate Issued,Additions and Alterations,Private,Dwelling Houses,Other,Guest Cottage,76,"536,560.00",Under 5 million,1,No,28/01/2016,12/02/2016,16/02/2016,01/08/2016,2016,TYGER NORTHERN SUBURBS
Tygerberg,70307040,Building Plan < 500m2,11508,635008,4 DELIA STREET  OAKGLEN,BELLVILLE,Work Complete,Additions and Alterations,Private,Dwelling Houses,Additional Dwelling,,76,"536,560.00",Under 5 million,1,No,24/10/2016,17/11/2016,03/02/2017,01/07/2019,2016,BELLVILLE
Tygerberg,70032994,Building Plan < 500m2,10786,634728,5 SETTLER STREET  OOSTERZEE,BELLVILLE,Work Complete,Additions and Alterations,Private,Non Residential,Other,"""New Entrance Area , Store Room",144,"535,680.00",Under 5 million,1,No,29/10/2007,07/12/2007,09/05/2013,11/07/2013,2007,BELLVILLE
Tygerberg,70246701,Minor Works (Circulated),9223,448551,38 13TH AVENUE  BOSTON,BELLVILLE,Work Commenced,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,"535,600.00",Under 5 million,1,No,08/06/2015,03/08/2015,02/10/2016,,2015,BELLVILLE
Tygerberg,70405995,Building Plan < 500m2,7013,631917,27 TALLENT ROAD  GLENLILY,PAROW,Work Commenced,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Carport, Internal Alterations",122,"535,370.00",Under 5 million,1,No,07/06/2018,31/10/2018,12/12/2018,,2018,PAROW
Tygerberg,70001951,Building Plan < 500m2,19491,624609,88 CONNAUGHT ROAD  BEACONVALE,PAROW,Work Complete,Additions and Alterations,Private,Internal Alterations,Other,Internal Alterations,0,"535,000.00",Under 5 million,1,No,23/07/2013,14/07/2014,27/08/2014,27/08/2014,2013,BEACONVALE INDUSTRIA
Tygerberg,70156910,Building Plan < 500m2,35722,658210,6 MIKE PIENAAR BOULEVARD  OOSTERZEE,BELLVILLE,Work Commenced,Additions and Alterations,Private,Non Residential,Other,Addition,60,"535,000.00",Under 5 million,1,No,14/08/2014,04/03/2015,08/03/2016,,2014,BELLVILLE
Tygerberg,70447463,Building Plan < 500m2,16859,546797,293 VOORTREKKER ROAD   RICHMOND ESTATE,GOODWOOD,Work Commenced,Additions and Alterations,Private,Internal Alterations,Other,"Internal Alterations to Retail Area, Re-roofing",71,"534,130.00",Under 5 million,1,No,11/03/2019,01/11/2019,08/11/2019,,2019,GOODWOOD
