Case ID,Plan Cat. Primary,Plan Category Public,Plan Cat. Second,Building Work Description,Typo Work Description,Total Area,Building Work Value,Number of Units,Year,Area 2
70122004,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,132,533280,1,2008,TYGER NORTHERN SUBURBS
70436276,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extesnion, Boundary Wall",69,532740,1,2018,BELLVILLE
70317571,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,532640,1,2016,BELLVILLE
70401879,Residential,Private,Dwelling Houses,Additional Dwelling,,90,532440,1,2018,GOODWOOD
70357454,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Internal Alterations",68,532080,1,2017,TYGER NORTHERN SUBURBS
70469848,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Carport, Wall",131,531980,1,2020,PAROW
70099906,Additions and Alterations,Private,Dwelling Houses,Other,"""Dwelling Extension, Wall""",84,530585,1,2012,BELLVILLE
70390211,Additions and Alterations,Private,Non Residential,Other,Addition of Fuel Store:  Karl Bremer Hospital,114,530100,1,2018,BELLVILLE
70245934,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Internal, Pool, Wall",73,529840,1,2015,TYGER NORTHERN SUBURBS
70302082,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,75,529500,1,2016,PAROW
70521278,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,75,529500,1,2020,TYGER NORTHERN SUBURBS
70299250,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Carport",143,529100,1,2016,BELLVILLE
70414042,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Internal Ateration & Wall",62,528970,1,2019,TYGER NORTHERN SUBURBS
70503633,Additions and Alterations,Private,Dwelling Houses,Other,Dwelling Extension & internal alts,74,528940,1,2020,TYGER NORTHERN SUBURBS
70201670,Additions and Alterations,Private,Dwelling Houses,,Dwelling Extension,145,528590,1,2009,TYGER NORTHERN SUBURBS
70503249,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,107,528180,0,2020,PAROW
70301856,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Store Room, Carport",91,528060,1,2016,GOODWOOD
70028216,Residential,Private,Dwelling Houses,Additional Dwelling,,79,527720,1,2014,GOODWOOD
70477840,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Braai Patio, Swimming Pool",96,527680,1,2020,PAROW
70477840,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Braai Patio, Swimming Pool",96,527680,1,2020,PAROW
70477840,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Braai Patio, Swimming Pool",96,527680,1,2020,PAROW
70027051,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,109,527510,1,2013,PAROW
70432663,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Internal Alterations, Carport",135,527340,1,2019,TYGER NORTHERN SUBURBS
70172690,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,86,527080,1,2016,GOODWOOD
70335577,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Internal Alterations, Carport, S/Pool, Wall",108,526900,1,2017,TYGER NORTHERN SUBURBS
70324518,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Carport, Wall",108,526810,1,2017,BELLVILLE
70350982,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,73,526430,1,2017,PAROW
70344385,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Carport, Pool, Wall",104,526400,1,2017,TYGER NORTHERN SUBURBS
70290380,Additions and Alterations,Private,Dwelling Houses,,Dwelling extension,90,526080,1,2016,TYGER NORTHERN SUBURBS
70459957,Additions and Alterations,Private,Dwelling Houses,Other,"DWELLING EXTENSION, CARPORT & PATIO",114,524560,1,2020,TYGER NORTHERN SUBURBS
70033637,Additions and Alterations,Private,Dwelling Houses,Other,"""Dwelling Extension, Swimming Po",148,523140,1,2010,GOODWOOD
70033637,Additions and Alterations,Private,Dwelling Houses,Other,"""Dwelling Extension, Swimming Po",148,523140,1,2010,GOODWOOD
70033637,Additions and Alterations,Private,Dwelling Houses,Other,"""Dwelling Extension, Swimming Po",148,523140,1,2010,GOODWOOD
70264662,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,74,522440,1,2015,GOODWOOD
70289623,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,74,522440,1,2016,BELLVILLE
70299178,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,74,522440,1,2016,PAROW
70438748,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,74,522440,1,2019,PAROW
70401725,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,72,522320,1,2018,PAROW
70477414,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,108,522240,1,2020,TYGER NORTHERN SUBURBS
70276340,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Internal Alts, Shadeport, Wall",87,521907,1,2016,TYGER NORTHERN SUBURBS
70263832,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,81,521660,1,2015,BELLVILLE
70513161,Additions and Alterations,Private,Town House/Flats/Other Residen,Other,Town house extension & internal alts,59,521660,1,2020,TYGER NORTHERN SUBURBS
70433770,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,79,521580,1,2019,BELLVILLE
70484370,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,95,521500,1,2020,PAROW
70484370,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,95,521500,1,2020,PAROW
70484370,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,95,521500,1,2020,PAROW
70167540,Additions and Alterations,Private,Dwelling Houses,Other,Alts and Adds,97,521483,1,2014,TYGER NORTHERN SUBURBS
70316387,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,112,521200,1,2016,PAROW
70023829,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,123,521070,1,2013,PAROW
70260034,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Carport, Wall, Internal Alterations",97,520540,1,2015,BELLVILLE
70335559,Additions and Alterations,Private,Internal Alterations,Other,Internal Alterations: Capitec Bank,0,520000,1,2017,BELLVILLE
70372925,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,69,519640,1,2017,BELLVILLE
70359004,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,117,519480,1,2017,BELLVILLE
70457758,Additions and Alterations,Private,Dwelling Houses,Other,"Dweling Extension, Boundary Wall",40,519400,1,2019,BELLVILLE
70121699,Residential,Private,Dwelling Houses,Dwelling,Dwelling,155,519330,1,2008,BELLVILLE
70418222,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Internal Alterations",67,518520,1,2018,BELLVILLE
70449453,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Swimming Pool, Internal Alterations",74,518140,1,2019,PAROW
70370508,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Boundary Wall, Carport",112,517840,1,2018,PAROW
70017896,Additions and Alterations,Private,Dwelling Houses,Other,"""Second Dwelling,  Carport""",134,517800,1,2012,PAROW
70276187,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,65,517400,1,2016,BELLVILLE
70238245,Additions and Alterations,Private,Dwelling Houses,Other,"Internal Alterations, Dwellling Extension, Carport, Wall",83,517150,1,2015,PAROW
70074981,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Internal Alteration, Wall",61,517040,1,2014,PAROW
70158341,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Carport",96,516390,1,2014,BELLVILLE
70074254,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extention, Carport and Wall",108,516000,1,2014,PAROW
70153594,Additions and Alterations,Private,Dwelling Houses,Garage,,111,515880,1,2014,PAROW
70314846,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Carport, Swimming pool",124,515500,1,2017,BELLVILLE
70428767,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Wall",69,515490,1,2019,BELLVILLE
70458875,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,73,515380,1,2020,TYGER NORTHERN SUBURBS
70187021,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling extension, Carport, Verandah",116,515310,1,2015,PAROW
70439483,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,68,515080,1,2019,GOODWOOD
70120623,Additions and Alterations,Private,Dwelling Houses,Other,"""Carport, Veranda, Wall, Dwellin",195,515050,1,2008,PAROW
70083721,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,515000,1,2010,TYGERVALLEY
70481837,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Garage",74,514900,1,2020,BELLVILLE
70440376,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Carport",132,514360,1,2019,BELLVILLE
70036204,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,514314,1,2012,BELLVILLE
70210795,Residential,,,,,286,514000,1,2002,TYGER NORTHERN SUBURBS
70258481,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,71,513860,1,2015,GOODWOOD
70236472,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,170,513400,1,2015,PAROW
70236472,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,170,513400,1,2015,PAROW
70236472,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,170,513400,1,2015,PAROW
70471475,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Carport Extension, Internal Alterations,",75,513220,1,2019,BELLVILLE
70185530,Additions and Alterations,Private,Dwelling Houses,Braai Room,,102,512840,1,2015,BELLVILLE
70267195,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,43,511580,1,2015,PAROW
70462349,Additions and Alterations,Private,Dwelling Houses,Other,Dwelling Extension & Internal Alts,72,510920,1,2019,TYGER NORTHERN SUBURBS
70324130,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Internal Alterations",65,510900,1,2017,TYGER NORTHERN SUBURBS
70322218,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Patio",82,510280,1,2016,TYGER NORTHERN SUBURBS
70183313,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Wall, Pool",181,509780,1,2015,PAROW
70276072,Other Approvals,Private,Walls,Walls,,0,509250,1,2016,TYGER NORTHERN SUBURBS
70002450,Residential,Private,Dwelling Houses,Additional Dwelling,,99,508860,2,2013,PAROW
70340251,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,72,508320,1,2017,TYGER NORTHERN SUBURBS
70464590,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,72,508320,1,2019,PAROW
70311398,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Internal Alterations, Pool, Wall",73,507940,1,2016,TYGER NORTHERN SUBURBS
70410196,Additions and Alterations,Private,Non Residential,Other,"Warehouse Extension, Internal Alterations, Wall",5,507570,1,2018,STIKLAND INDUSTRIA
70339859,Additions and Alterations,Private,Dwelling Houses,Other,"Garage , Pool",77,507260,1,2017,PAROW
70270089,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,88,506880,1,2016,BELLVILLE
70482967,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Internal Alts & Wall",49,506390,1,2019,TYGER NORTHERN SUBURBS
70484505,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Swimming Pool",110,506020,1,2020,GOODWOOD
70484505,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Swimming Pool",110,506020,1,2020,GOODWOOD
70484505,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Swimming Pool",110,506020,1,2020,GOODWOOD
70024345,Additions and Alterations,Private,Non Residential,Other,"""Garage, Security Office, Wall""",64,505440,1,2013,PAROW
70304612,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Wall, Pool",75,504890,1,2016,TYGER NORTHERN SUBURBS
70463900,Other Approvals,Private,Other,Other,"As-Built (Repostioning Retaining Wall, Window & Building Line Encroachment) )",0,503700,1,2019,TYGER NORTHERN SUBURBS
70468627,Additions and Alterations,Private,Dwelling Houses,Other,"Garage, Carport",94,503480,1,2019,BELLVILLE
70528913,Additions and Alterations,Private,Internal Alterations,Other,Internal Alterations to Office,0,503420,0,2020,PAROW
70112937,Residential,Private,Dwelling Houses,Dwelling,Dwelling,114,503320,1,2009,GOODWOOD
70292532,Additions and Alterations,Private,Non Residential,Other,"Guard House, Roof Over Parking Bays",344,503040,1,2016,PAROW
70324532,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Wall, Internal works",69,502890,1,2016,GOODWOOD
70348014,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,67,502140,1,2017,BELLVILLE
70337170,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,71,501260,1,2017,PAROW
70366188,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Patio",71,501260,1,2017,TYGER NORTHERN SUBURBS
70476945,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,71,501260,1,2019,TYGER NORTHERN SUBURBS
70169757,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,75,501000,1,2014,PAROW
70182740,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,75,501000,1,2014,PAROW
70016462,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,102,500820,1,2011,PAROW
70307936,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,91,500260,1,2016,PAROW
70004292,Additions and Alterations,Private,Internal Alterations,Other,Internal Alterations to Shop,0,500000,1,2010,TYGERVALLEY
70013523,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,500000,1,2012,BELLVILLE CBD
70085404,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,500000,1,2009,TYGERVALLEY
70106668,Additions and Alterations,Private,Internal Alterations,Other,"""Internal Alterations, Wall""",0,500000,1,2012,PAROW
70195583,Additions and Alterations,Private,Church/Sport/Recreation,Other,Dwelling Extension,115,500000,1,2009,PAROW
70195583,Additions and Alterations,Private,Church/Sport/Recreation,Other,Dwelling Extension,115,500000,1,2009,PAROW
70195583,Additions and Alterations,Private,Church/Sport/Recreation,Other,Dwelling Extension,115,500000,1,2009,PAROW
70231739,Other Approvals,,,,,0,500000,1,2012,TYGERVALLEY
70289733,Other Approvals,Private,Other,Other,Cell phone tower,0,500000,1,2016,ELSIES RIVER INDUSTRIA
70515750,Other Approvals,Private,Cell Mast,Cell-Mast,,0,500000,0,2020,BELLVILLE
70362343,Additions and Alterations,Private,Dwelling Houses,Other,"Garage, Lapa",108,499360,1,2017,BELLVILLE
70383303,Additions and Alterations,Private,Town House/Flats/Other Residen,Other,Braai Room & Open Sided Structure,92,499000,1,2018,TYGER NORTHERN SUBURBS
70303913,Additions and Alterations,Private,Dwelling Houses,Other,"""Adds & Alts, Carport""",179,498870,1,2007,GOODWOOD
70485372,Additions and Alterations,Private,Non Residential,Other,Storeroom Extension,57,498750,1,2019,PAROW
70404058,Additions and Alterations,Private,Non Residential,Other,Warehouse Extension,71,498420,1,2018,BEACONVALE INDUSTRIA
70453957,Additions and Alterations,Private,Internal Alterations,Other,"Internal Alts, re-roofing, Patio & Wall",174,498260,1,2019,TYGER NORTHERN SUBURBS
70509999,Additions and Alterations,Private,Dwelling Houses,Other,"Garage, Wall to Dweling",65,497650,0,2020,BELLVILLE
70403713,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,5,496600,1,2018,BELLVILLE
70269196,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Wall",70,496300,1,2015,TYGER NORTHERN SUBURBS
70534998,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,64,496120,0,2021,PAROW
70426383,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,79,495900,1,2018,BELLVILLE
70415542,Additions and Alterations,Private,Town House/Flats/Other Residen,Dwelling Extension,,59,495660,1,2018,BELLVILLE
70178458,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Wall",71,495280,1,2014,BELLVILLE
70466119,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Carport",113,494620,1,2020,PAROW
70249225,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,113,494200,1,2015,PAROW
70312603,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,70,494200,1,2017,PAROW
70337036,Residential,Private,Dwelling Houses,Other,"Granny Flat, Dwelling Extension",70,494200,1,2017,PAROW
70356415,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,70,494200,1,2017,PAROW
70414609,Residential,Private,Dwelling Houses,Other,"Granny Flat, Maid's Quarters",70,494200,1,2018,BELLVILLE
70488502,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,70,494200,1,2020,TYGER NORTHERN SUBURBS
70502950,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,70,494200,1,2020,GOODWOOD
70235771,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension , Swimming Pool",79,493160,1,2015,PAROW
70352815,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Lean-To",86,492760,1,2017,TYGER NORTHERN SUBURBS
70480557,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,67,492520,1,2019,BELLVILLE
70470069,Additions and Alterations,Private,Dwelling Houses,Other,Garage & Wall,66,492210,1,2019,TYGER NORTHERN SUBURBS
70090536,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,99,492030,1,2011,TYGER NORTHERN SUBURBS
70235901,Residential,Private,Dwelling Houses,Dwelling,,67,491960,1,2015,GOODWOOD
70353743,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Internal Alterations, Pool, Patio",99,491820,1,2017,TYGER NORTHERN SUBURBS
70489573,Residential,Private,Dwelling Houses,Other,"Granny Flat, Internal Alterations to Dwelling",64,490840,1,2020,GOODWOOD
70094179,Additions and Alterations,Private,Dwelling Houses,Other,"""Dwelling Extension, Covered Swi",119,490330,1,2011,BELLVILLE
70072725,Residential,Private,Internal Alterations,Other,Shop fittings,0,490000,1,2014,TYGERVALLEY
70001190,Additions and Alterations,Private,Dwelling Houses,Other,"""Carport, Garage, Braai Room""",140,489940,1,2014,PAROW
70307931,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,113,489740,1,2016,GOODWOOD
70440367,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,92,489360,1,2019,BELLVILLE
70523292,Additions and Alterations,Private,Dwelling Houses,Other,"Bedrooms, Carport, Boundary Wall, Internal Alterations to Dw",129,489340,0,2021,PAROW
70312958,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Internal Alterations",62,489320,1,2016,GOODWOOD
70352882,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,109,489260,1,2017,PAROW
70352882,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,109,489260,1,2017,PAROW
70352882,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,109,489260,1,2017,PAROW
70186274,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension,Timber Deck, Wall",95,489200,1,2015,BELLVILLE
70410417,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,107,489160,1,2018,BELLVILLE
70235890,Residential,Private,Dwelling Houses,Dwelling,,69,489120,1,2015,GOODWOOD
70235892,Residential,Private,Dwelling Houses,Dwelling,,69,487920,1,2015,GOODWOOD
70490101,Additions and Alterations,Private,Dwelling Houses,Other,Dwelling Extension & Internal Alts,74,487800,1,2020,TYGER NORTHERN SUBURBS
70161461,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,73,487640,1,2014,GOODWOOD
70161461,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,73,487640,1,2014,GOODWOOD
70161461,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,73,487640,1,2014,GOODWOOD
70246642,Additions and Alterations,Private,Dwelling Houses,Additional Dwelling,,73,487640,1,2015,GOODWOOD
70452937,Other Approvals,Private,Other,Façade,,0,487500,1,2019,BELLVILLE
70185555,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,72,487460,1,2015,PAROW
70099440,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,93,487320,1,2012,TYGER NORTHERN SUBURBS
70463598,Additions and Alterations,Private,Dwelling Houses,Additional Dwelling,,69,487140,1,2019,PAROW
70503089,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Covered Areas, Internal Alterations",89,486640,1,2020,BELLVILLE
70320156,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Stoep",81,486060,1,2016,PAROW
70087994,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,127,485910,1,2010,TYGER NORTHERN SUBURBS
70271344,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Patio",80,485500,1,2015,TYGER NORTHERN SUBURBS
70477623,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Carport, Internal Alterations",80,485500,1,2019,BELLVILLE
70327101,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,72,485440,1,2016,PAROW
70538689,Additions and Alterations,Private,Dwelling Houses,Other,"Additional Dwelling, Carport, Pool",90,484640,1,2021,PAROW
70421982,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Internal Alterations",64,484340,1,2018,GOODWOOD
70460083,Additions and Alterations,Private,Town House/Flats/Other Residen,Other,Town House Extension & Internal Alts,55,484200,1,2019,TYGER NORTHERN SUBURBS
70088655,Additions and Alterations,Private,Dwelling Houses,Other,"""Dwelling Extension,  Garage""",112,483840,1,2011,BELLVILLE
70412936,Additions and Alterations,Private,Dwelling Houses,Other,"Staff Quarters, Wall, Covered Stoep, Carport",60,481140,1,2018,PAROW
70154629,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,72,480960,1,2014,TYGER NORTHERN SUBURBS
70235082,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling ext, Garage",72,480960,1,2015,BELLVILLE
70004802,Additions and Alterations,Private,Non Residential,Office Extension,Office Extension,108,480600,1,2011,PAROW
70200057,Additions and Alterations,Private,Non Residential,,Addition & Alterations,108,480600,1,2009,BELLVILLE CBD
70005145,Additions and Alterations,Private,Non Residential,Other,Addition & Internal Alterations,99,480550,1,2007,PAROW
70331609,Additions and Alterations,Private,Dwelling Houses,Braai Room,,68,480080,1,2017,BELLVILLE
70396308,Residential,Private,Dwelling Houses,Other,"Granny Flat, Garage",68,480080,1,2018,BELLVILLE
70404294,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,68,480080,1,2018,BELLVILLE
70515652,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,68,480080,1,2020,TYGER NORTHERN SUBURBS
70402879,Additions and Alterations,Private,Dwelling Houses,Other,"Granny Flat, Carport",132,480040,1,2018,GOODWOOD
70268448,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,66,477960,1,2015,TYGER NORTHERN SUBURBS
70235893,Residential,Private,Dwelling Houses,Dwelling,,67,477560,1,2015,GOODWOOD
70338898,Additions and Alterations,Private,Internal Alterations,Other,"Internal Alterations to Dwelling, Wall, New Roof",160,477400,1,2017,BELLVILLE
70474553,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Internal Alterations",77,477240,1,2019,BELLVILLE
70235886,Residential,Private,Dwelling Houses,Dwelling,,66,476280,1,2015,GOODWOOD
70192327,Other Approvals,Private,Other,Other,Rider Plan,0,475554,1,2015,TYGERVALLEY
70025127,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,85,475460,1,2013,BELLVILLE
70314877,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,114,475060,1,2016,PAROW
70009592,Additions and Alterations,Private,Internal Alterations,Internal Alterations,,0,475000,1,2011,TYGERVALLEY
70164858,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,71,474280,1,2014,BELLVILLE
70238840,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,71,474280,1,2015,PAROW
70241999,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,71,474280,1,2015,PAROW
70264175,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,67,473020,1,2015,GOODWOOD
70284559,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,67,473020,1,2016,PAROW
70364014,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,67,473020,1,2017,BELLVILLE
70329984,Additions and Alterations,Private,Dwelling Houses,Other,Granny Flat and Wendy house,101,472820,1,2017,BELLVILLE
70235903,Residential,Private,Dwelling Houses,Dwelling,,67,472760,1,2015,GOODWOOD
70349158,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Wall",62,472370,1,2017,TYGER NORTHERN SUBURBS
70235902,Residential,Private,Dwelling Houses,Dwelling,,67,472160,1,2015,GOODWOOD
70317831,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,85,472100,1,2016,GOODWOOD
70168076,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling extension, Wall, Internal alterations, Covered areas",185,471900,1,2014,PAROW
70235859,Residential,Private,Dwelling Houses,Dwelling,,67,471560,1,2015,GOODWOOD
70344094,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Patio, Wall",68,471070,1,2017,TYGER NORTHERN SUBURBS
70507062,Additions and Alterations,Private,Dwelling Houses,Other,"dwelling extension, internal alts & carport",82,471020,1,2021,TYGER NORTHERN SUBURBS
70235888,Residential,Private,Dwelling Houses,Dwelling,,66,470880,1,2015,GOODWOOD
70289024,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,91,470860,1,2016,PAROW
70116407,Non Residential,Private,Industrial Warehouse,Factory,,383,470800,1,2002,STIKLAND INDUSTRIA
70511422,Additions and Alterations,Private,Non Residential,Other,Proposed store room to Warehouse,67,470340,1,2020,PAROW EAST
70511422,Additions and Alterations,Private,Non Residential,Other,Proposed store room to Warehouse,67,470340,1,2020,PAROW EAST
70511422,Additions and Alterations,Private,Non Residential,Other,Proposed store room to Warehouse,67,470340,1,2020,PAROW EAST
70330263,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Patio",82,470240,1,2017,TYGER NORTHERN SUBURBS
70235860,Residential,Private,Dwelling Houses,Dwelling,,67,469160,1,2015,GOODWOOD
70235887,Residential,Private,Dwelling Houses,Dwelling,,67,469160,1,2015,GOODWOOD
70235891,Residential,Private,Dwelling Houses,Dwelling,,66,469080,1,2015,GOODWOOD
70160562,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Garage, Store, Sunroom, Internal Alterations",65,468200,1,2014,PAROW
70300726,Additions and Alterations,Private,Dwelling Houses,Other,"Dwelling Extension, Internal Alterations",62,467720,1,2016,TYGER NORTHERN SUBURBS
70258191,Additions and Alterations,Private,Dwelling Houses,Other,"Sunroom, Garage, Dwelling Extension",70,467600,1,2015,BELLVILLE
70192540,Additions and Alterations,Private,Dwelling Houses,Dwelling Extension,,116,467280,1,2015,GOODWOOD
70084080,Residential,Private,Town House,Town House,Town House,108,466560,1,2010,TYGER NORTHERN SUBURBS
70168237,Residential,Private,Dwelling Houses,Other,"Granny Flat, Carport, Patio, Internal Alteration",128,466220,1,2014,PAROW
